"title","press","body"
"[매경포럼] 마이크를 겁내지 않는 대통령","매일경제","지난해 11월 버락 오바마 전 미국 대통령이 노스캐롤라이나주에서 힐러리 클린턴 당시 민주당 대선후보 지지 연설을 할 때였다. 한 중년 남성이 트럼프 지지를 외치며 돌출 행동을 하자 경호원이 저지에 나섰는데, 오바마 전 대통령이 이를 말렸다. 그러면서 한 치의 망설임도 없이 네 가지를 얘기했다. 첫째, 우리는 자유롭게 말할 수 있는 나라에 살고 있다. 둘째, 군복을 입은 것으로 보아 그는 나라를 지켰던 분이었을지 모른다. 셋째, 우리는 어르신을 존중해야 한다. 순식간에 벌어진 일이었지만 오바마는 그의 인상착의를 파악하고 국민의 권리와 군인에 대한 예우, 노인 공경이라는 설득 논리를 만들어낸 것이다. 그리고는 ""넷째, 야유하지 마세요. 대신 투표하세요""라며 자기 주장으로 마무리했다.준비된 연설이었을 리 없다. 오바마의 관찰력, 순발력, 표현력이 빚어낸 즉흥 연설에 대중은 뜨거운 박수를 보냈다. 당시 우리는 대통령 연설문 유출이 드러나면서 시작된 '최순실 게이트' 파문으로 온 나라가 뒤숭숭한 시기였다. '일국의 대통령이라면 저 정도는 돼야 하는 것 아닌가'라는 반응이 쏟아졌다. 내가 남의 나라 대통령을 탐낸 것도 처음이었다.즉흥적으로 이런 연설을 할 만큼 서양의 연설과 토론의 역사는 유구하다. 말로 대중을 설득하고 매료시킨 사람이 리더가 되는 것은 그리스·로마 때부터 내려온 전통이다. 셰익스피어의 희곡 '줄리어스 시저'에서 묘사된 브루투스와 안토니우스의 연설은 말이 사람의 마음을 움직이는 무기라는 것을 보여준다. 시저를 암살한 브루투스가 ""시저를 덜 사랑했기 때문이 아니라 로마를 더 사랑했기 때문""이라며 이성에 호소하자 대중은 ""와""하고 환호한다. 그러나 그다음 안토니우스가 ""가난한 사람들이 울면 시저도 울었다. 나는 시저에게 세 번이나 왕관을 바쳤지만 그는 거절했다. 이게 야심인가""라며 감성을 건드리자 대중은 또 ""와""하며 동요했다. 결국 연설에서 밀린 브루투스가 패배했다. 이 사례는 표변하는 대중의 속성을 언급할 때 회자되기도 하지만 결국 리더를 뽑는 것은 대중이고, 대중은 리더의 말 속에서 인간성, 비전, 논리, 실행력을 유추해낸다는 것을 보여준다.우리나라의 연설, 토론의 역사는 일천하다. 대선 TV 토론이 도입된 것도 1997년이었다. 특히 지난 4년간 한국은 토론의 암흑기였다고 해도 과언이 아니다. 대통령은 국무회의에서 이미 써온 원고를 읽었고 장관들은 받아 적기에 바빴다. 대통령 탄핵 사태는 토론, 소통에 대한 국민의 억눌린 열망을 증폭시켰다. 최근 대선 TV 토론의 높은 시청률은 토론을 통해 실력을 검증하겠다는 의지의 반영이다. 미국식 스탠딩 토론, 원고 없는 토론이 펼쳐진 것은 장족의 발전이다. 하지만 세 번 진행된 TV 토론에 대한 국민의 실망은 이만저만이 아니다. 5명이나 되는 후보들의 난상 토론, 정책과 비전이 실종된 네거티브 공방, 핵심을 비켜 가는 얼렁뚱땅 답변, 미래보다 과거에 머문 논쟁 등은 국민이 기대했던 것이 아니었다. 직설화법형, 허허실실형, 자책골형, 답변회피형 등 토론 부재 교육의 산증인들이 만든 불협화음이랄까. 오죽하면 후보들끼리도 ""유치한 토론 태도"" ""초등학교 감정 싸움""이라며 치고받겠는가. 그런 과정에서 실력과 우열도 어느 정도 드러났다.대통령이 꼭 토론을 잘할 필요가 있느냐는 의견도 있다. 심지어 우리는 달변가에게 '말만 번지르르하다'며 배척하는 문화가 존재한다. 그러나 대통령의 토론 실력, 말솜씨는 무엇보다 중요하다. 국민이 대통령의 머릿속을 볼 수 없으니 접점은 오직 말 뿐이다. '대통령의 권력은 설득하는 권력(power to persuade)'이라는 말이 있듯 대통령은 국회와 국민을 끊임없이 말로 설득해야 하기 때문이다. 영국에서는 매주 수요일에 야당 당수와 의원들이 총리에게 질의하는 PMQ(Prime Minister's Questions)가 열린다. 총리는 수많은 질문에 숙지된 지식으로 원고 없이 응답한다. 아베 신조 일본 총리도 출근길 만나는 기자들에게 경제, 안보 이슈에 대해 거침없이 의견을 밝힌다. 세계 리더들은 마이크만 대면 모두 웅변가가된다. 우리는 얼마 전까지 대통령의 4년 연속 국회 시정연설이 빅뉴스가 되고, 대통령 신년기자 회견에서는 '사전 각본' 논란이 일곤했다. 마이크 잡는 것을 겁내지 않는 대통령, 말로 소통과 공감의 정치를 할 수 있는 대통령, 우리도 그런 대통령을 가질 때가 됐다.[심윤희 논설위원][매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
"[인사]대한건설협회","이데일리","[이데일리 이진철 기자] △문화홍보실장 정근영이진철 (cheol@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
"[기자수첩] 승마장 불법, 이대로 놔둘건가","파이낸셜뉴스","최근 승마인구 증가에 따라 전국적으로 기승을 부리는 승마장 불법 영업 이면에는 자치구의 허술한 관리.감독이 한몫을 한다는 지적이 끊이지 않는다.일부 구청은 관할지역에서 버젓이 영업하고 있는 승마시설이 불법 업소인지조차 인지하지 못하고 있는 것이다. 이 같은 불법 승마장에서 사고가 발생하더라도 보험처리가 되지 않아 피해는 고스란히 시민의 몫으로 돌아가게 되는 데도 말이다.완연한 봄 날씨에 야외활동을 찾는 이들이 늘면서 이른바 '원데이 클래스'로 승마를 즐기는 사람들도 증가하고 있다. 지난 2011년 9월 농.축산업의 부가가치 창출을 위해 말 이용 활성화를 골자로 한 '말 산업 육성법'이 시행된 이후 수도권뿐만 아니라 전국적으로 승마시설이 증가했다. 2012년 348개소에서 2016년 기준 479개로 증가폭이 큰 편이다. 같은 기간 승마인구도 체험자가 늘어남에 따라 41만5546명에서 93만8422명(체험·정기 승마 인구 합산)으로 늘었다.그러나 이같이 승마시설이 늘어나는 가운데 영업신고를 하지 않은 채 불법영업하는 승마장은 전체의 80%에 달하는 것으로 추정되고 있다. 실제 인천시.경기 김포시 등에 위치한 승마시설을 온라인 포털사이트를 통해 검색해봤다. 인천에서 영업하는 승마장은 약 15곳이 검색됐다. 그러나 이 가운데 지방자치단체에서 인.허가를 받아 영업을 하는 승마장은 단 3곳에 불과했다. 미신고영업 승마장 가운데는 개발제한구역인 그린벨트 내에서 규모제한을 넘어 영업하기도 했다.특히 인천의 A승마장은 신고를 하지 않고 불법영업 중이었지만 관할구청 블로그에는 '귀족스포츠 승마체험'을 할 수 있는 곳이라고 소개되기도 했다. 자치구청에서 얼마나 무관심한지, 단속은 아예 도외시하고 있는지를 여실히 보여주는 대목이라고도 해도 지나치지 않다.이 같은 사정은 김포시도 마찬가지였다. 농지법 29조에 따라 농업진흥구역으로 정해졌을 경우 승마장의 설치 및 영업은 불가능하다. 그러나 제보를 받은 승마시설 2곳 모두 농업진흥구역에서 영업 중이었다. 이에 대해 김포시 관계자는 ""관할 읍면동에서 관리감독 권한을 갖고 단속하기 때문에 적발된 사례나 건수는 시에서 파악하고 있지는 않다""고 말했다. 시도 파악하지 않고 있는 불법영업 시설을 읍면동에서는 얼마나 철저하게 관리하고 있을지 의문이다.gloriakim@fnnews.com 김문희 기자     ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ  파이낸셜뉴스. 무단 전재-재배포 금지"
"[독자칼럼] `워라밸`을 아시나요","매일경제","평소 신조어를 웬만큼 안다고 자부하던 필자도 '워라밸'의 의미를 금방 알아채지 못했다. 'work and life balance(일과 생활의 균형)'에서 나온 '워라밸'은 요즘 젊은이들 직장 선택의 중요한 기준이라고 한다. 기업도 인재를 유치하고 창의적인 아이디어를 발굴하기 위해 직원들의 '워라밸'을 높여주려는 노력을 하고 있다고 한다. 민간 일자리 포털 중에는 재직자가 자기 회사의 '워라밸' 지수를 평가할 수 있어 청년 구직자들에게 인기를 끄는 곳도 있다. 일·생활 균형이라고 하면 과거에는 직장 여성들이 육아와 직장 생활을 병행할 수 있는 제도로 생각했다. 그러나 '워라밸'은 여성과 남성 또 미혼과 기혼에 관계없이 누구에게나 보장되어야 하는 가치가 되었다. 누군가에게 '워라밸'은 퇴근 이후에는 가족과 저녁을 먹고 아이들과 대화하는 시간이 보장되는 것을 의미하고, 누군가에게는 좋아하는 카페에서 책을 읽으며 커피 한잔을 마시는 시간이 보장되는 것이기도 하다.일·생활 균형의 핵심은 근로시간에 대한 근로자 본인의 결정권 확대라고 할 수 있다. 일·생활 균형이 가장 절실한 출산· 육아기의 여성·남성 근로자가 고용 불안을 해소할 수 있도록 제도적으로 보장해주는 것은 가장 기본적인 단계의 문제다. 더 나아가 근로자가 생애단계에 맞게 근로시간을 조절할 수 있어야 일·생활 균형이 완성된다.'남녀고용평등과 일·가정 양립 지원에 관한 법률'에는 육아휴직, 육아기 근로시간 단축, 배우자 출산휴가 등이 보장되어 있고 '근로기준법'에는 출산휴가, 임신기 근로시간 단축이 보장되어 있어서 출산·육아기 근로자의 일·생활 균형은 제도적으로 반영돼 있다. 그러나 경직적 장시간 근로가 관행처럼 행해지고 있어 실질적인 일·생활 균형은 여전히 쉽지 않다. 정부가 시차출퇴근, 재택근무, 전환형 시간선택제 등 유연근무 확산을 위해 컨설팅, 매뉴얼, 재정 지원 등 다양한 정책을 추진하는 것도 일·생활 균형에 대한 사회적 인식 변화에 기업이 맞춰 나갈 수 있도록 하기 위한 것이다.이제까지 근로시간 유연화는 기업 차원에서 초과근로 부담을 완화하기 위해 많이 요구됐다. 그러나 '워라밸'이 가장 중요한 직장 선택의 기준이 되는 지금, 근로자 개인의 필요에 따른 근로시간의 탄력적 운영이 요구된다. 아이를 키우는 맞벌이 부부, 은퇴기 근로자, 싱글 근로자 모두 '시간'이 필요하다. 누구나 일할 때 집중해서 일하고 내 시간도 제대로 보장받는 그런 직장이 더 많이 만들어질 때 근로자들의 행복도 커지고 국가 경쟁력도 더욱 높아질 것이다.[김경선 고용부 청년여성고용정책관][매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
"[사설]차세대반도체, 새로운 도전의 시작","전자신문","우리에게 익숙한 D램, 플래시메모리가 아닌 낯선 아이템 소식이 오랜만에 반도체업계에서 들려왔다. 그동안 연구개발(R&D) 단계에 머물러 온 차세대 메모리반도체인 자성메모리(M램)를 삼성전자가 상용화하기로 했다는 것이다.차세대 메모리반도체는 M램 이외에도 저항변화메모리(Re램), 상변화메모리(P램) 등 다양한 기술이 개발 단계 또는 상용화 초기 단계에 있다. 삼성전자가 차세대 메모리반도체 대표인 M램 시대를 열면서 세계 1위 메모리반도체 업체로서의 위상을 재확인했다.M램은 비휘발성 메모리면서 D램만큼 속도가 빠른 것이 특징이다. 이 때문에 업계는 당초 M램을 D램 대체 아이템으로 개발했다. 그러나 D램이 기술 진화로 양산 효율이 높아지면서 사용처가 모호해진 상황이었다. 삼성전자는 이를 직시, 우선 시스템반도체 파운드리(위탁생산) 서비스에 M램을 접목했다. M램을 시스템반도체 내장 메모리로 활용하면 시장 창출이 용이할 것이란 판단에서다. 첫 고객사로 NXP를 확정했고, 다음 달 공정 기술을 공개하며 거래처 확대에 나선다.D램, 낸드플래시 등 양산 단가가 지속적으로 떨어지는 주력 메모리반도체 시장을 차세대 메모리반도체로 대체한다는 것은 사실상 불가능하다. 특히 삼성전자는 현 D램·낸드플래시 시장을 리딩하는 상황이니 시도조차 할 필요가 없는 비현실적인 이야기다.그럼에도 이번 삼성전자의 차세대반도체 상용화의 노력은 의미가 있다. 우선 D램 대체용으로 개발한 M램이 타깃 시장을 잃게 되자 비록 시장은 크지 않지만 시스템반도체 융합형 메모리라는 새로운 분야에 적용해 낸 순발력이 돋보인다. 또 D램처럼 이미 기존 업체들이 상을 차려 놓은 시장에서 '페스트팔로우'에 그치지 않고 모두가 주저하는 차세대반도체 시장에 가장 먼저 도전장을 내면서 진정한 '퍼스트무버' 자리에 올라섰다는 점이다.메모리반도체 시장은 중국 등 후발 업체들의 도전이 거세다. 지속적인 초미세 가공 기술 개발과 M램 상용화 같은 다양한 시도가 경쟁사와의 기술 격차를 벌리고 시장 주도권을 확고히 하는 자양분이 되길 기대한다.▶ 전자신문 인기 포스트▶ 전자신문 공식 페이스북▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
"[경제금융 뷰파인더] 클라우드vs크라우드, 이제 금융이다","머니S","“IT에 클라우드(Clowd)가 있다면 금융에는 크라우드(Crowd)가 있다.” 클라우드는 IT서비스에서 시작됐다. 클라우드란 개인용컴퓨터 내 저장공간의 제약을 극복하기 위해 하드디스크(저장장치)가 아닌 지정된 서버에 데이터를 넣고 필요할 때 사용하는 서비스다. IT 대표기업 아마존은 2006년 인터넷으로 스토리지를 빌려주는 ‘S3’ 서비스를 내놓으면서 클라우드시장에 진출했다. 최근엔 단순한 컴퓨팅 자원을 빌려주는 클라우드에서 벗어나 인공지능(AI)과 사물인터넷(IoT)을 구현해주는 클라우드로 확장한다는 계획이다.금융의 크라우드는 ‘크라우드펀딩’이라는 이름으로 지난해 본격화됐다. 크라우드펀딩은 자금이 부족한 예술가나 사회활동가 등이 자신의 창작 프로젝트를 인터넷에 공개하고 익명의 다수에게 투자받는 방식이다. 투자자로선 수만원이나 수십만원 등 적은 금액으로 투자할 수 있어 부담이 적다. 영화 ‘판도라’는 국내에 증권형 크라우드펀딩제도가 도입된 후 결실을 맺은 대표적인 사례다. 크라우드펀딩으로 제작된 이후 손익분기점인 관객 수 440만명을 넘기고 세계 최대 유료 동영상서비스인 넷플릭스에 판권을 판매하며 투자자에게 수익을 안겼다.이런 성공사례에도 불구하고 크라우드펀딩의 제도개선이 필요하다는 지적이 나온다. 현행법(자본시장법과 금융투자업에 관한 법률)상 지분투자 방식인 증권형 크라우드펀딩에 참여하는 개인은 한 기업당 200만원 이상을 투자할 수 없다. 기업이 모을 수 있는 최대 투자금액도 연간 7억원에 불과하다. 그러나 전문가들은 크라우드펀딩시장의 활성화를 위해 투자한도 규제완화 등 제도개선이 시급하다고 말한다. 또 투자자에게 금전 대신 제품을 제공하는 ‘보상형 크라우드펀딩’에 대한 규제도 풀어야 한다는 지적이다. 보상형 크라우드펀딩은 미국 등에서 허용되고 있다.금융위원회는 지난 1월 크라우드펀딩 출범 1주년 성과를 발표했다. 금융위에 따르면 지난해 121건(116개 기업)의 아이디어가 크라우드펀딩에 성공, 7172명의 투자자로부터 180억원을 조달했다. 기업당 평균 1억6000만원 꼴이다. 제조(38건), IT·모바일(34건), 문화(16건), 농식품(7건), 교육(7건) 순으로 업종도 다양하다. 펀딩 성공률은 46.4%로 미국의 제도도입 초기(20%대)보다 두배 이상 높다. 개인투자자 참여율은 93%, 금액 기준으로는 전체의 44%다.임종룡 금융위원장은 “지난 1년간 크라우드펀딩이 창업·중소기업의 새로운 자금조달 통로로 안착, 유망한 창업기업을 미래의 거목으로 성장시키는 자양분 역할을 할 것”이라며 “정부도 크라우드펀딩이 창업기업의 자금원천 역할을 할 수 있도록 적극 지원하고 크라우드펀딩 발전방안의 후속조치와 남은 과제도 조속히 완료하겠다”고 말했다. 이처럼 정책당국도 규제완화를 통해 크라우드펀딩을 적극 지원하겠다고 약속하고 있다. 마땅히 투자처가 없는 저성장기에 크라우드펀딩이 히트상품으로 등장할지 기대를 모은다.크라우드펀딩은 대중이 참여하는 금융의 십시일반이다. IT의 클라우드가 이용자에게 저장공간이라는 단비를 내렸다면 금융의 크라우드는 투자자에게 세제혜택은 물론 큰 수익을 안겨다 주는 효자상품이 되기를 기대한다.실시간 재테크 경제뉴스│창업정보의 모든 것박영철 한국공인회계사회 홍보팀장"
"[한줌뉴스] '반려식물병원' 아시나요","머니S","현대인은 바쁘다. 주변을 돌아볼 틈이 없다. 하지만 우리가 무심코 스쳐 지나가는 순간에도 한번쯤 우리를 돌아보게 하는(zoom) 무언가가 있다. ‘한줌뉴스’는 우리 주변에서 지나치기 쉬운 소소한 풍경을 담아(zoom) 독자에게 전달한다.본문 이미지 영역지난 23일 서울 마로니에공원에서 열린 종로 도시농업 어울마당에 참여한 식물병원. /사진=박성필 기자반려동물은 알지만 반려식물은 생소하다. 지난 23일 오후 서울 대학로 마로니에공원에는 유난히 사람들로 북적이는 곳이 눈에 띄었다. 가까이 다가가봤더니 ‘반려식물병원’이다. ‘친환경 텃밭으로 즐기는 도심 속 일상’을 주제로 열린 ‘2017 종로 도시농업 어울마당’에 마련된 홍보부스다. 반려식물병원은 키우고 있는 식물에 문제가 생겼을 때 치료를 받을 수 있는 곳이다.최근 반려식물로 선인장 등 관상용 다육식물을 키우는 사람이 늘고 있다. 온라인쇼핑몰 11번가에 따르면 최근 3개월 동안 반려식물로 인기 많은 다육식물 매출이 전년 동기대비 89% 증가했다. 하지만 식물은 관리법과 환경조건이 저마다 달라 키우기가 여간 까다로운 게 아니다. 자칫 관심을 흘리면 며칠 만에 시들거나 죽어버리기 십상이다.요즘엔 돈만 있으면 ‘반려’라는 이름의 동식물을 가질 수 있다. 하지만 안타깝게도 싫증 나거나 병들었다는 이유로 버리는 건수가 매년 늘고 있다. 동물보다 손이 덜 갈 것 같은 식물도 교감 없이는 키울 수 없다. 그런 의미에서 반려식물병원은 배반해 돌아서는 ‘반려’(反戾)가 아닌 삶의 동반자를 뜻하는 ‘반려’(伴侶)의 의미를 되새기게 만드는 공간으로 느껴진다.실시간 재테크 경제뉴스│창업정보의 모든 것박성필 기자 feelps@mt.co.kr"
"[기자수첩] '철학이 있는 인사'를 보고 싶다","파이낸셜뉴스","청와대 김철주 금융경제비서관(53)은 기획재정부 내에서 '천재' 계보를 잇는 경제관료다.우선 평소 차림이 가볍다. 두꺼운 자료집을 모두 머릿속에 넣어가지고 다니기 때문이라고들 한다. 경제정책을 설계하는 기재부 종합정책과장 시절엔 종이와 펜 하나만으로 장관의 국회 대정부질문을 보좌해 모두들 그의 비상한 두뇌에 놀랐다고 한다. 그는 이번 대선 이후 30여년 공직생활을 마감하고, 아시아개발은행(ADB) 산하 연구소 부소장으로 간다. 사람들은 청와대 경제수석실 '왕 비서관'이 가기엔 격이 맞지 않는 자리다, 아까운 관료 하나를 잃었다며 아쉬워한다. 그래도 그는 운 좋은 축에 속한다. 다른 청와대 비서관들은 대부분 실직자가 될 처지다. 공무원 인사라는 게 하고 싶다고 그 자리에 가는 것도 아니고, 하기 싫다고 않는 것도 아닌데 1년 안팎의 청와대 근무 이력을 걸어 '부역자'로 낙인을 찍으니 말이다.사정이 이러하니 직위고하를 막론하고 공직사회에서 정권 말 청와대행은 자살행위나 다름없다.""철학이 맞지 않으면 쓰지 않는다."" 역대 정권, 집권 초기 엘리트 공무원들의 운명을 가르는 기준 두 가지 중 하나가 '철학'이다. 다른 하나는 '지역색'(출신지) 정도로 해두자. 철학은 쉽게 말해 새 정권과의 인연.연줄을 시쳇말로 '고급지게' 포장한 말이다. 이 철학이란 것도 영혼 없는 공무원들 재단하기엔 대단히 자의적이고 모호하기 그지없는데 두 가지 실례가 있다.전직 경제관료 A는 참여정부 때 청와대에서 부동산정책 수립에 관여해 상을 받았고(이따금 그는 그때 만든 정책이 부끄럽다고 말하곤 하지만…) 이명박정부에선 글로벌 금융위기 방어에 애썼고 박근혜정부 때는 1급 공무원에 올랐다. 그의 선배 격인 경제관료 B도 노무현정부 때 경제정책의 장기 청사진의 기틀을 만들었으며 이명박정부 때는 청와대 비서관을, 박근혜정부 때는 장관급을 지냈다. A와 B는 과연 어느 정권 사람인가. 무슨 재주로 A와 B의 철학을 평가할 것인가.""한 명의 고위공무원을 키워내기까지 유학 지원이니 막대한 국가적 자원이 투입되는데 그저 도구이고 수단인 공무원들을 부역자라고 낙인 찍어 버린다면 그야말로 국가적 손해 아니냐."" 젊은 관료들의 한숨과 볼멘소리가 여기저기서 들린다. 전리품 챙기기식 인사관행이 바로 적폐이고 낡은 정치다. 이번 봄엔 진짜 '철학이 있는 인사'를 보고 싶다.ehcho@fnnews.com 조은효 기자      ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ  파이낸셜뉴스. 무단 전재-재배포 금지"
"[사설]은행 뿐이랴…화폐 없는 세상도 준비해야","전자신문","2012년 7695개에 이르던 국내 시중은행 점포 수는 올해 6865개만 남는다. 4년 만에 830개나 줄었다. 특히 올 한 해만 285개 점포가 문을 닫는다. 은행이 썰물처럼 세상에서 빠져나가고 있다.한때 최고의 직장이자 직업으로 불린 은행과 은행원들이 사라지고 있다. 자본주의 시대에 돈을 움직이는 직업이니 대접 받을 만도 했다. 그리고 30년 넘게 '그들만의 리그' 안에서 행복을 누렸다.올해는 아마도 우리나라 은행 역사에 새로운 전환기로 기록될 전망이다. 인터넷은행이 처음 영업을 시작, 기존 은행업의 상당 부분을 빼앗거나 없앤 해로 말이다.케이뱅크는 서비스 개시 2주 만에 가입자 20만명을 넘어섰고, 고객 증가세가 가파르다. 주요 은행별로 실 사용자 기준 100만명을 넘어선 모바일뱅킹 서비스와 비교하면 무시 못할 성장세다. 고객 한 명 없이 새로 시작해서 만들어진 수치니 의미가 더 크다.인터넷은행이 기존 은행을 넘어 결국 완전히 대체하기까지 시간문제라는 인식이 일반적이다. 은행 당사자뿐만 아니라 이용자 대부분이 이를 인정한다. 문제는 지금의 은행이 얼마나 빠르고 혁신해서 이 변화와 추월 당할 시간을 늦추느냐의 문제로 귀결된다.혁신의 속도는 벌써 국가 금융시스템의 변화 요구에 이르렀다. 꼭 화폐가 오가야 하는가의 지적까지 나온다. 아프리카 케냐에는 이미 은행이 사라졌다. 모바일로 송금하고 거래하는 데 불편이 없다.비단 케냐의 실험이 문제가 아니다. 앞으로는 모든 금융 거래와 구매·결제는 개인 신용·인증 네트워크와 그때마다 바뀌는 본인을 표시, 가상 구좌를 통해 실시간으로 이뤄질 것이다. 은행이란 곳이 따로 있을 필요가 없다.이런 변화를 가만히 앉아서 외부 변화로 맞느냐 우리 안에서 혁신을 통해 만드느냐는 천지차이다. 지금 당장 은행이 사라진다고 할 것이 아니라 이런 미래 금융 사회로의 거대한 변화를 먼저 준비한다면 잃는 것보다 훨씬 더 큰 것을 얻을 수도 있다.게티이미지뱅크▶ 전자신문 인기 포스트▶ 전자신문 공식 페이스북▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
"[데스크라인]신근어의 언가복야(信近於義 言可復也)","전자신문","대통령 선거를 앞두고 과학기술계가 희망에 부풀었다. 대선 주자들이 대덕연구개발특구를 찾아 입맛에 맞는 과학기술 정책을 속속 내놓고 있기 때문이다.과학기술 독임 부처의 부활을 약속하는 대선 후보 캠프가 적지 않다. 문재인 더불어민주당 후보를 비롯해 안철수 국민의당 후보 등 유력 후보가 과학기술 컨트롤타워를 다시 세워야 한다는 데 의견을 함께했다.정부출연연구기관(출연연)의 성격을 기타공공기관에서 연구목적기관으로 지정하거나 연구 과제를 기초 연구와 민간연구소가 하지 않는 사회 문제 해결형 연구로 전환하겠다는 공약도 쏟아져 나왔다.국가 연구개발(R&D) 예산을 4~5% 늘리거나 연구 평가를 결과가 아닌 과정 위주로 전환하겠다고 약속하는 후보도 적지 않다. 연구원 정년을 62세에서 다시 65세로 늘리고, 박사후연구원이나 국가 R&D에 참여하는 학생연구원 고용 계약을 의무화하겠다는 공약도 나왔다.대덕연구단지에는 공약이 벌써 이뤄진 것처럼 들떠 있는 연구원이 적지 않다. 유력 후보들이 비슷한 정책을 내놓고 있어 실현 가능성이 높다는 이유다. 어떤 후보가 대통령이 돼야 연구 환경이 더 좋아질지, 누가 더 현장에 가까운지를 놓고 저울질하는 모습도 어렵지 않게 보인다.지난 21일에도 과학의 날을 맞아 유력 대선 주자들이 이와 비슷한 과학기술 정책 청사진을 제시했다. 문재인 더민주 후보는 과학기술인 처우 개선과 사람 중심 과학기술 정책을 내세웠고, 안철수 국민의당 후보는 정부 주도 시스템을 민간 주도 시스템으로 전환할 것을 천명했다.대선 주자가 내놓은 공약은 전혀 낯설지 않다. 대부분 과학기술계에서 요구해 온 사항이다. 마치 대선 주자들이 과기계의 요구를 대변하는 듯하다. 대선 주자들이 과학기술 현장에 그만큼 가까이 다가와 있다는 의미로 보면 매우 고무적이다.그러나 다른 한편으로는 과학기술계 표심을 공략하기 위해 현장 요구를 무조건 수용하고 보는 것은 아닌지 의문이 든다. 사실 대선 때면 대덕연구개발특구를 찾아 이런저런 공약을 내세웠다가 당선되고 나면 언제 그랬냐는 듯 잊는 사례가 많았다.아무리 좋은 정책이라 해도 실행력이 담보되지 않으면 의미가 없다. 실천 가능한 공약이 필요하다. 국민 세금을 투입하는 국책 연구는 국가에서 미래를 위한 고도 전략을 토대로 진행해야 한다. 세금으로 특정 기업을 지원하기 위한 연구를 하거나 무조건 자율에 맡겨 방치하는 것은 맞지 않다.연구원 복지만 강조하는 것도 위험하다. 자율을 보장하되 책임은 명확히 해야 한다. 고통 분담을 전제하지 않고 장밋빛 희망만 제시하는 공약은 공약(空約)으로 그칠 가능성이 짙다. 한쪽 요구만 듣고 성급하게 정한 공약도 실천 가능성이 희박하다.논어 학이편에 '신근어의 언가복야(信近於義 言可復也)'라는 말이 나온다. '의로움에 가까운 약속이라야 실행할 수 있다'는 의미다.25일 KAIST에서 대선 캠프와 정당별 과학 정책을 논할 수 있는 자리가 마련된다. 과학기술 거버넌스에서부터 출연연의 혁신 및 연구 환경 조성까지 다양한 어젠다를 놓고 각 정당을 대표하는 과기정책 특보가 참여, 심도 있는 토론을 벌일 예정이다. 후보별로 실천 가능한 공약을 추려낼 수 있는 자리가 되길 기대한다.대전=김순기기자 soonkkim@etnews.com▶ 전자신문 인기 포스트▶ 전자신문 공식 페이스북▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
